Name,Address,Mobile,Coordinates
Shahid Suhrawardy Hospital,"Ser-e-Banglanagar, Collegegate",9122560-78,
Ad-Din Hospital,"Moghbazar, Dhaka",9353391-3,"(23.7442387, 90.4141117)"
Ahmed Medical Centre Ltd,"House #71, Road #15-A (New), Dhanmondi C/A",8113628,
Aichi Hospital,"House #13, Eshakha Avenue Sector #6, Uttara Dhaka","8916290,8920165",
Al Anaiet Adhunik Hospital,"House #36, Road #3, Dhanmondi",8631619,"(23.7417731, 90.382781)"
Al-Helal Specialist Hospital,"150, Rokeya Sarani, Senpara Parbata, Mirpur-10, Dhaka","9006820,9008181",
Al Jebel-E-Nur Heart Ltd,"House #21, Road #9/A (New), Dhanmondi",8117031,
Al-Rajhi Hospital,"12, Farmgate-1215, Dhaka","8119229,8121172,9117775",
Al-Ahsraf General Hospital,"House #12 Road #21, Sector #4, Uttara Dhaka",8952851-2,
Al-Biruni Hospital,"23/1, Khilzee Road, Shyamoli","8118905,9115953",
Al-Fateh Medical Services (Pvt) Ltd,"11, Farmgate Over Bridge East Side",9120615,
Al-Madina General Hospital (Pvt.) Ltd,"2/A, Golden Street, Ring Road, Shamoli, Dhaka",8118709,
Al-Manar Hospital,"5/4, Block-F, Lalmatia, Dhaka-1207","9121387,9121588",
Al-Markazul Islami Hospital,"21/17, Babar Road, Mohammadpur","8114980,9129426",
Al-Mohite General Hospital & Diagnostic Centre,"House #11, Road #2, Shamoli","9113831,9114220",
Amri Hospitals Kolkata Bangladesh Info Center,"Erectors House (10th Flr), 17 Kemal Ataturk Avenue, Banani C/A, Dhaka-1213",9893528-9,
Anjuman-E-Mofidul Islam,Dhaka,9336611,"(23.7643863, 90.3890144)"
Appolo Hospital,"20/5, Babar Road, Block #B, Mohammadpur",8152549,
Arimo General Hospital,"Matuil, Deamra Road",,
Arogya Niketan Hospital Ltd,"242-243, New Circular Road, Malibagh",9333730,
Aysha Memorial Specialized Hospital,"74/G, Arjatpara, Mohakhali, Dhaka","9122689,9122690",
B.D.F. Hospital,"5/7, Humayaun Road, Block #D, Mohammadpur","8123730,8116637",
Bangabandhu Sheikh Mujib Medical University,"Shabagh, Dhaka","8614001-9,8614545",
Bangal Nursing Home Ltd,"Lake Circus, Kalabagan, Dhaka",9114824,
Bangkok Hospital Office Bangladesh,"Lion Complex (4th Floor), 73, New Airport Road, Tejgaon","9139777,9134982,9113864",
Bangladesh Association For The Aged & Institute Of Geriatric Medicine,"Agargaon, Sher-e-Bangla Nagar",9129814,"(23.7784483, 90.3801611)"
Bangladesh Heart & Chest Hospital,"Road #27 (Old), 16 (New), House #47, Dhanmondi","9114266,8123977",
Bangladesh Medical College,"House #35, Road #14/A, Dhanmondi","9118202,8115843",
Bangladesh Telemedicine Services Ltd,"Comfort Tower, 167/B, Green Road, Dhanmondi","8124990 Ext 660,284",
Bari-Llizarov Orthopedic Centre,"House #77 (New) 831 (Old), Road #9/A (New), Dhanmondi R/A","9120309,8117876",
Bdm Hospital,"5/17, Humayun Road, Block #B, Mohammadpur",8113481,
Bengal Nursing Home (Pvt.) Ltd,"70/C, Lake Circus, Kalabagan",8116007,
Birdem,"Shahbagh, Dhaka",8616641-50,"(23.7400837, 90.3960061)"
Bnsb Dhaka Eye Hospital,"Mirpur-1, Dhaka",8014476,"(23.7982936, 90.3536668)"
Brain & Mind Hospital Ltd,"149/A, Airport Road, Farmgate, Baitul Shoraf Mosque Complex",8120710,
Brighton Hospital Ltd,"163, Sonargaon Road, Hatirpool, Dhaka-1205","8626901,9671186",
Bumrungrad Hospital,"House 154, Road 11, Block E, Banani, Dhaka",8855254,
Cancer Home Cancer & Breast Clinic,"GP-Cha, 149/1, Mohakhali",8815244,
Care Medical Center Ltd,"41, Chamelibagh, Shantinagar","8318827,9351190","(23.741069, 90.4127529)"
Central Hospital Ltd,"House #2, Road #5, Green Road, Dhanmondi",9660015-19,
Centre For Health And Development Medical Complex,"House #16, Road #16, Sector #4, Uttara Model Town",8920670,
Centre For The Rehabilitation Of The Paralysed (CRP),"Post CRP, Savar","7710464-5,7711766",
Chandshi Medical Centre,"House #9, Road #27, Block #K, Banani","8821875,9554571",
China-Bangla Hospital (JV) Ltd,"Plot #1, Road #7, Sector #1, Uttara","8913674,8913606",
Cholera Hospital (ICDDRB),"Dhaka, Mohakhali","871751-60,600171-8","(23.7799396, 90.4083222)"
Christian Medical Hospital,"6/3, Nadda, Baridhara (North)","9886298,8813375",
City Hospital (Pvt) Ltd,"69/1/1, Panthapath","8617852,8623205","(23.7525464, 90.3833456)"
CMH (Dhaka Cantonment),Dhaka,882770,"(23.7643863, 90.3890144)"
Community Eye Hospital,"40, New Elephant Road (1st floor), Dhaka",,
Community Hospital,"190/1, Wireless Rail Gate, Baramaghbazar, Dhaka",9351190-1,
Community Maternity Hospital,"22, Bijay Nagar",9358513,"(27.5982189, 83.5429312)"
Control Of Diarrhoeal Disease Programme,"1/13, Humayun Road, Block #B, Mohammadpur","9114574,9114581",
Crescent Gastroliver & General Hospital,"House #60, Road #8/A, Dhanmondi R/A, Dhaka",9116851,
Crescent Hospital & Diagnostic Complex Ltd,"22/2, Babar Road, Mohammadpur","9117524,8119775",
Delta Medical Centre Ltd,"House #20, Road #4, Dhanmondi R/A",8617141-3,
Dhaka Community Hospital,"190/1, Baro Moghbazar, Wireless Railgate",9351190-91,
Dhaka ENT Hospital,"House #56, Road #4/A, Dhanmondi R/A","8617503,9613986",
Dhaka General Hospital (Pvt) Ltd,"17, Hatkhola Road","7115351,7116708","(24.9138976, 90.7006099)"
Dhaka Medical College & Hospital,"Polashi, Dhaka","8616744,9663429","(23.7270762, 90.3893378)"
Dhaka Monorogh Clinic,"House #13, Road #1, Block #11/A, Mirpur Dhaka",9005050,
Dhaka National Hospital Ltd,"House #55/1, Road #27 (Old) 16 (New), Dhanmondi R/A",8122588,
Dhaka Orthopaedic Hospital,"843, Ring Road, Shamoli, Dhaka-1207","9112684,912603",
Dhaka Renal Centre & General Hospital,"5 Green Corner, Green Road, Dhaka-1205","8610928,8621841-2",
Dhaka Shishu Hospital,"Sher-E-Bangla Nagar, Dhaka","8116061-62,8114571-72","(23.7741959, 90.3754853)"
Dhanmondi Hospital (Pvt) Ltd,"House #19/E, Green Road, Middle of Road #6 & 7, Dhanmondi",8628849,
Diabetic Association Of Bangladesh,"122, Kazi Nazrul Islam Avenue, Shahbagh",8616641-50 Ext 2225,"(23.7400837, 90.3960061)"
Diagnosis,"44/C, Ahsad Avenue, Mohammadpur",814822,
Diganta Anti Drug Hospital,"House #353, Road #14, Block #B, Chanduaon R/A",031-671393,
Doctors General Hospital,"31/32, DIT Industrial Area, Postogola","7410731,7413239",
Dr. Salahudding Hospital,"House #37, Road #9/A, Dhanmondi R/A","9122264,9121779",
Dr. Sultanas Poly Clinic,"651, Shahinbagh, Tejgaon",9115244,
Dushta Shasthya Hospital (D.S.K),"21/1, Khilji Road, Mohammadpur",8124952,"(23.7727749, 90.3668903)"
Eden Multicare Hospital,"753, Satmajid Road Dhanmondi, Dhaka-1209","8150507-10,8151506",
Farabi General Hospital,"Road #14 (New), House #8/3, Dhanmondi R/A, Dhaka-1209","81222471,9140442",
Fashion Eye Hospital Ltd,"98/6-A, Elephant Road, Bara Moghbazar","9338986,9343961",
Faud Al Khatib Hospital,"Almas Tower, 282/1, 1st Colony, Majar Road, Mirpur","9007188,9004317,8013638",
Federal Medical College Hospital Ltd,"20, Link Road, Bangla Motor",8613097-8,"(23.7498045, 90.3973019)"
Gastroliver Hospital & Research Institute,"69/D, Green Road Panthpath, Dhaka-1205","8620960,8625393,8627853",
General Hospital Ltd,"House #60, Road #8/A, Dhanmondi, R/A, Dhaka","9116851,91137181,9137182",
General Medical Hospital (Pvt.) Ltd,"103, Elephant Road, Dhaka-1205",861932,"(51.4933474, -0.09868)"
Grain & Mind Hospital Ltd,"149/A, Airport Road, Farmgate, Baitus Sharaf Mosque Complex",8120710,
Green Hospital,"House #31, Road #6, Dhanmondi R/A",8612412,
Green Land Hospital,"Azampur, Uttara, Dhaka",8914175,"(23.8678212, 90.4000461)"
Greenland Hospital,"House #4, Road #4, Sector #7, Uttara Model Town",8912663,"(23.8660695, 90.3975438)"
Harun Eye Foundation & Green Hospital,"Road #6, House #31, Dhanmondi R/A, Dhaka","8612412,8619068",
Hasnabad Hospital (Pvt) Ltd,"South West Side of Buri Ganga Bridge, Hasnabad",7419977,
Health And Hope Ltd,"152/1-H, Green Road, Panthopath (Green Road - Panthopath Crossing)",9145786,
Holy Family R.C. Hospital,"Eskaton Garden Road, Dhaka",8311721-25,"(23.7451575, 90.3996963)"
Hyfia General Hospital,"1/A, Adabar, Ring Road, Shamoli, Dhaka",9120519,
I.R. Ltd,"House #50, Road #2A Dhanmondi",8618085,"(23.7391883, 90.3764595)"
Ibn Sina Hospital,"House #47, Road #9/A, Satmasjid Road, Dhanmondi","9128835-7,9126625",
Ideal Medical Center Ltd,"48, Green Road, Panthapath","8117566,8118892","(23.7456333, 90.3852622)"
Islamia Eye Hospital,"Farmgate, Dhaka","8112856,9119315","(23.7590394, 90.3871113)"
International Medical Center Ltd,"36, Green Road, Dhaka-1205",8614420,
Jahangirnagar Hospital,"Jahangirnagar University Campus, Savar, Dhaka",7710425,
Janata Medical College & Hospital,"7, Lake Circus, Kalabagan, Dhaka",8116007,
Japan Bangladesh Friendship Hospital,"Mirpur, Dhaka",8019985,"(23.8123629, 90.3640891)"
Kawsar Hospital Ltd,"House #40, Road #6, Dhanmondi, Dhaka",9120681,"(23.7433712, 90.3807775)"
Khilkhet Hospital Ltd,"House #32, Road #2, Khilkhet, Dhaka",8914706,
Labaid Specialized Hospital,"House #55, Road #27 (Old) 16 (New), Dhanmondi, Dhaka-1209",8113910,
LabAid Specialized Hospital Ltd,"7, Babar Road, Mohammadpur",9119880,
Life Care Hospital,"House #23, Road #4, Dhanmondi R/A, Dhaka",8115660,
Lifeline Hospital Ltd,"House #7/9, Block-C, Lalmatia, Dhaka-1207",9121843,
M.A. Rab Hospital,"House #54, Road #4/A, Dhanmondi R/A",8612345,
M.H. Hospital Ltd,"House #33, Road #4/A, Dhanmondi R/A",8610123,
